2019-04-02 14:30:22.489 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2019-04-02 14:30:22.508 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2019-04-02 14:30:22.509 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
2019-04-02 14:30:22.509 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2019-04-02 14:30:22.510 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2019-04-02 14:30:22.511 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2019-04-02 14:30:22.517 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
2019-04-02 14:30:22.518 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-04-02 14:30:22.518 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2019-04-02 14:30:22.521 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2019-04-02 14:30:22.523 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'methodValidationPostProcessor'
2019-04-02 14:30:22.540 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2019-04-02 14:30:22.557 | main | DEBUG | org.springframework.beans.factory.support.DefaultListableBeanFactory |  |  |  |  | Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
